state,state fips,county,county code,commodity,data item,domain category,2017,2012,2007,2002,1997
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",,"10,419,033","12,177,715","13,008,266","13,498,842","18,024,687"
US TOTAL,99,,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU",,"440,770,319","521,904,259","475,906,637","391,500,672","537,892,213"
US TOTAL,99,,,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",,"86,596","126,085","136,103","141,062",
US TOTAL,99,,,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",,"26,186,417","34,723,361","35,785,969","29,303,293",
US TOTAL,99,,,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",,"1,284,412,628","1,577,093,637","1,444,540,438","1,104,334,391",
US TOTAL,99,,,OATS,OATS - OPERATIONS WITH AREA HARVESTED,,"19,842","35,038","42,558","63,763","94,811"
US TOTAL,99,,,OATS,OATS - ACRES HARVESTED,,"814,140","1,078,698","1,509,149","1,996,916","2,739,810"
US TOTAL,99,,,OATS,"OATS - PRODUCTION, MEASURED IN BU",,"50,406,624","65,646,178","89,508,669","109,840,449","154,654,269"
US TOTAL,99,,,BARLEY,BARLEY - OPERATIONS WITH AREA HARVESTED,,"11,188","18,667","19,848","24,747","43,269"
US TOTAL,99,,,BARLEY,BARLEY - ACRES HARVESTED,,"2,206,808","3,283,905","3,521,957","4,015,654","6,108,682"
US TOTAL,99,,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",,"161,624,924","215,059,358","207,089,232","214,800,035","346,413,080"
US TOTAL,99,,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",,"15,339","20,037","26,242","33,172","50,860"
US TOTAL,99,,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",,"5,070,159","5,142,099","6,769,834","6,755,326","8,647,643"
US TOTAL,99,,,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",,"354,737,072","264,337,547","482,452,865","333,485,523","569,984,239"
US TOTAL,99,,,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",,"3,064","5,288","5,625","7,042","7,962"
US TOTAL,99,,,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",,"335,647","466,645","450,041","406,031","384,320"
US TOTAL,99,,,SORGHUM,"SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS",,"4,434,915","5,639,863","5,763,450","3,904,834","4,669,985"
US TOTAL,99,,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,,"303,191","302,963","279,110","317,611","367,300"
US TOTAL,99,,,SOYBEANS,SOYBEANS - ACRES HARVESTED,,"90,149,480","76,104,780","63,915,821","72,399,844","67,773,274"
US TOTAL,99,,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",,"4,356,024,186","2,926,822,777","2,582,423,697","2,707,719,216","2,560,330,804"
US TOTAL,99,,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED",,"5,408",,,,
US TOTAL,99,,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED",,"1,470,136",,,,
US TOTAL,99,,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT",,"30,625,986",,,,
US TOTAL,99,,,COTTON,COTTON - OPERATIONS WITH AREA HARVESTED,,"16,149","18,155","18,605","24,805","33,640"
US TOTAL,99,,,COTTON,COTTON - ACRES HARVESTED,,"11,401,965","9,384,080","10,493,238","12,456,162","13,897,404"
US TOTAL,99,,,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",,"20,413,180","16,534,302","18,898,128","17,145,345","18,706,703"
US TOTAL,99,,,TOBACCO,TOBACCO - OPERATIONS WITH AREA HARVESTED,,"6,237","10,014","16,234","56,977","93,530"
US TOTAL,99,,,TOBACCO,TOBACCO - ACRES HARVESTED,,"331,552","342,932","359,846","428,631","837,363"
US TOTAL,99,,,TOBACCO,"TOBACCO - PRODUCTION, MEASURED IN LB",,"715,446,022","766,609,252","778,301,825","873,350,412","1,744,192,909"
